Listing_type,URL,Bedrooms,Bathrooms,Area_sqm,Price_monthly,Price_annualy,Sale_price,Furnished,Pool,Floor,Floor_type,Location,Description,Specialities,apartment_id
rent,https://www.homes-jordan.com/ar/%D9%84%D9%84%D8%A7%D9%8A%D8%AC%D8%A7%D8%B1/%D8%B4%D9%82%D9%82/%D8%B4%D9%82%D8%A9-%D8%B7%D8%A7%D8%A8%D9%82-%D8%A7%D9%88%D9%84-%D9%84%D9%84%D8%A7%D9%8A%D8%AC%D8%A7%D8%B1-%D9%81%D9%8A-%D8%AF%D9%8A%D8%B1-%D8%BA%D8%A8%D8%A7%D8%B1-%D8%A8%D9%85%D8%B3%D8%A7%D8%AD%D8%A9-%D8%A8%D9%86%D8%A7%D8%A1-182%D9%85/HMM-R-3563,3.0,3.0,182.0,,,,0,0,طابق أول,Normal,"دير غبار,  عمان,  الأردن",3 غرف نوم (1 ماستر) - 3 حمامات - صالون - غرفة معيشة - بلكونة - غرفة خادمة,مطبخ راكب - ارضيات بورسلان - تكييف وحدات - تدفئة - خزائن بالحائط - ابواب امان - حمامات معلقة - باباجورات كهربائية - ديكورات جبصين - شاور بوكس - مصعد - تشطيبات سوبر ديلوكس,1
rent,https://www.homes-jordan.com/ar/%D9%84%D9%84%D8%A7%D9%8A%D8%AC%D8%A7%D8%B1/%D8%B4%D9%82%D9%82/%D8%B4%D9%82%D8%A9-%D8%A7%D8%B1%D8%B6%D9%8A%D8%A9-%D8%B7%D8%A7%D8%A8%D9%82%D9%8A%D8%A9-%D9%85%D8%B9-%D8%AD%D8%AF%D9%8A%D9%82%D8%A9-%D9%84%D9%84%D8%A7%D9%8A%D8%AC%D8%A7%D8%B1-%D9%81%D9%8A-%D8%A7%D9%84%D8%B1%D8%A7%D8%A8%D9%8A%D8%A9-%D8%A8%D9%85%D8%B3%D8%A7%D8%AD%D8%A9-%D8%A8%D9%86%D8%A7%D8%A1-411%D9%85/HMM-R-3564,4.0,7.0,411.0,,80000.0,,1,0,طابق أرضي,Full Floor,"الرابية,  عمان,  الأردن",4 غرف نوم ماستر - 7 حمامات - صالون - غرفة معيشه - ترس - حديقة - مخزن - غرفة خادمة وغرفة غسيل - كراج خاص - 3 مداخل,مسبح خاص - ارضيات بورسلان + باركيه - تكييف مركزي - تدفئة تحت البلاط على الغاز - مطبخ راكب - خزائن بالحائط - ديكورات جبصين + خشبية - حمامات معلقة - جاكوزي - اباجورات كهربائية - شاور بوكس - موقد - بئر ماء - مصعد - ابواب امان - كاميرات مراقبة - انارة مخفية - زجاج دبل - تشطيبات سوبر ديلوكس,2
rent,https://www.homes-jordan.com/ar/%D9%84%D9%84%D8%A7%D9%8A%D8%AC%D8%A7%D8%B1/%D8%B4%D9%82%D9%82/%D8%B4%D9%82%D8%A9-%D8%B7%D8%A7%D8%A8%D9%82-%D8%A7%D9%88%D9%84-%D9%84%D9%84%D8%A7%D9%8A%D8%AC%D8%A7%D8%B1-%D9%81%D9%8A-%D8%A7%D9%84%D8%AF%D9%88%D8%A7%D8%B1-%D8%A7%D9%84%D8%B3%D8%A7%D8%A8%D8%B9-%D8%A8%D9%85%D8%B3%D8%A7%D8%AD%D8%A9-%D8%A8%D9%86%D8%A7%D8%A1-200%D9%85/HMM-R-3565,3.0,3.0,200.0,,,,0,0,طابق أول,Normal,"الدوار السابع,  عمان,  الأردن",3 غرف نوم (ماستر1) - 3 حمامات - غرفة معيشة - صالون - 2 بلكونة - كراج,ارضيات رخام + سيراميك + باركيه - تكييف وحدات - تدفئة - زجاج دبل - ديكورات جبصين - خزائن بالحائط - مصعد - شاور بوكس - انارة مخفيةحمامات معلقة - اباجورات كهربائية - موقد - انارة مخفية - تشطيبات سوبر ديلوكس - تقع في منطقة هادئة,3
rent,https://www.homes-jordan.com/ar/%D9%84%D9%84%D8%A7%D9%8A%D8%AC%D8%A7%D8%B1/%D8%B4%D9%82%D9%82/%D8%B4%D9%82%D8%A9-%D9%85%D8%B7%D9%84%D8%A9-%D9%85%D9%81%D8%B1%D9%88%D8%B4%D8%A9-%D9%84%D9%84%D8%A7%D9%8A%D8%AC%D8%A7%D8%B1-%D9%81%D9%8A-%D8%B9%D8%A8%D8%AF%D9%88%D9%86-%D8%A8%D9%85%D8%B3%D8%A7%D8%AD%D8%A9-%D8%A8%D9%86%D8%A7%D8%A1-120%D9%85/HMM-R-3508,2.0,2.0,120.0,,18000.0,,1,0,تسوية أولى,Normal,"عبدون,  عمان,  الأردن",2 غرف نوم - 2 حمامات - غرفة معيشة - مطبخ - 3 بلكونة - كراج,ارضيات بورسلان - تكييف مركزي - مطبخ راكب - خزائن - ديكورات جبصين + خشبية - حمامات معلقة - اباجورات كهربائية - شاور بوكس - مصعد - انارة مخفية - زجاج دبل - تشطيبات سوبر ديلوكس,4
rent,https://www.homes-jordan.com/ar/%D9%84%D9%84%D8%A7%D9%8A%D8%AC%D8%A7%D8%B1/%D8%B4%D9%82%D9%82/%D8%B4%D9%82%D8%A9-%D8%B7%D8%A7%D8%A8%D9%82-%D8%A7%D9%88%D9%84-%D9%84%D9%84%D8%A7%D9%8A%D8%AC%D8%A7%D8%B1-%D9%81%D9%8A-%D8%A7%D9%85-%D8%A7%D8%B0%D9%8A%D9%86%D8%A9-%D8%A8%D9%85%D8%B3%D8%A7%D8%AD%D8%A9-%D8%A8%D9%86%D8%A7%D8%A1-63%D9%85/HMM-R-3511,2.0,1.0,63.0,,9000.0,,1,0,طابق أول,Normal,"ام اذينة,  عمان,  الأردن",غرفة نوم عدد 2 - حمام - غرفة معيشه - مطبخ - مخزن - كراج,"السعر: 9,000 دينار اردني سنوي",5
rent,https://www.homes-jordan.com/ar/%D9%84%D9%84%D8%A7%D9%8A%D8%AC%D8%A7%D8%B1/%D8%B4%D9%82%D9%82/%D8%B4%D9%82%D8%A9-%D8%B7%D8%A7%D8%A8%D9%82-%D8%AB%D8%A7%D9%86%D9%8A-%D9%84%D9%84%D8%A7%D9%8A%D8%AC%D8%A7%D8%B1-%D9%81%D9%8A-%D8%A7%D9%84%D8%AF%D9%88%D8%A7%D8%B1-%D8%A7%D9%84%D8%AE%D8%A7%D9%85%D8%B3-%D8%A8%D9%85%D8%B3%D8%A7%D8%AD%D8%A9-%D8%A8%D9%86%D8%A7%D8%A1-175%D9%85/HMM-R-3514,3.0,3.0,175.0,,,,1,0,طابق ثاني,Normal,"الدوار الخامس,  عمان,  الأردن",غرف نوم عدد 3 (1 ماستر) - 3 حمامات - صالون - غرفة معيشه - مطبخ - بلكونة - غرفة خادمة وغرفة غسيل - مخزن - كراج,مطبخ راكب - ارضيات بورسلان + رخام - تكييف وحدات - تدفئة تحت البلاط على الغاز- ابواب امان - كاميرات مراقبة - ديكورات جبصين - حمامات معلقة - اباجورات كهربائية - شاور بوكس - موقد - مصعد - انارة مخفية - زجاج دبل - تشطيبات سوبر ديلوكس,6
rent,https://www.homes-jordan.com/ar/%D9%84%D9%84%D8%A7%D9%8A%D8%AC%D8%A7%D8%B1/%D8%B4%D9%82%D9%82/%D8%B4%D9%82%D8%A9-%D8%B7%D8%A7%D8%A8%D9%82-%D8%AB%D8%A7%D9%84%D8%AB-%D9%85%D9%81%D8%B1%D9%88%D8%B4%D8%A9-%D9%84%D9%84%D8%A7%D9%8A%D8%AC%D8%A7%D8%B1-%D9%81%D9%8A-%D8%A7%D9%84%D8%B4%D9%85%D9%8A%D8%B3%D8%A7%D9%86%D9%8A-%D8%A8%D9%85%D8%B3%D8%A7%D8%AD%D8%A9-270%D9%85/HMM-R-3432,3.0,5.0,270.0,,,,1,0,طابق ثالث,Normal,"الشميساني,  عمان,  الأردن",3 غرف نوم - 5 حمامات - غرفة معيشة - صالون - مخزن - غرفة خادمة وغرفة غسيل - مطبخ - بلكونة - كراج,مطبخ - ارضيات سيراميك + رخام - تكييف وحدات - تدفئة - خزائن بالحائط - زجاج دبل - خزائن بالحائط - تشطيبات سوبر ديلوكس - ديكورات جبصين - اباجورات كهربائية - شاور بوكس - انارة مخفية - مصعد - تقع في منطقة هادئة,7
rent,https://www.homes-jordan.com/ar/%D9%84%D9%84%D8%A7%D9%8A%D8%AC%D8%A7%D8%B1/%D8%B4%D9%82%D9%82/%D8%B4%D9%82%D8%A9-%D8%B7%D8%A7%D8%A8%D9%82-%D8%AB%D8%A7%D9%86%D9%8A-%D9%84%D9%84%D8%A7%D9%8A%D8%AC%D8%A7%D8%B1-%D9%81%D9%8A-%D8%B6%D8%A7%D8%AD%D9%8A%D8%A9-%D8%A7%D9%84%D8%A7%D9%85%D9%8A%D8%B1-%D8%B1%D8%A7%D8%B4%D8%AF-%D8%A8%D9%85%D8%B3%D8%A7%D8%AD%D8%A9-%D8%A8%D9%86%D8%A7%D8%A1-104%D9%85/HMM-R-3436,2.0,2.0,104.0,,7000.0,,1,0,طابق ثاني,Normal,"ضاحية الأمير راشد,  عمان,  الأردن",2 غرف نوم (1 ماستر) - 2 حمام - غرفة معيشه - مطبخ - بلكونة - مخزن - كراج,"السعر: 7,000 ديناراردني سنوي",8
rent,https://www.homes-jordan.com/ar/%D9%84%D9%84%D8%A7%D9%8A%D8%AC%D8%A7%D8%B1/%D8%B4%D9%82%D9%82/%D8%B4%D9%82%D8%A9-%D8%B7%D8%A7%D8%A8%D9%82-%D8%A7%D9%88%D9%84-%D9%84%D9%84%D8%A7%D9%8A%D8%AC%D8%A7%D8%B1-%D9%81%D9%8A-%D8%A7%D9%84%D8%AF%D9%88%D8%A7%D8%B1-%D8%A7%D9%84%D8%B1%D8%A7%D8%A8%D8%B9-%D8%A8%D9%85%D8%B3%D8%A7%D8%AD%D8%A9-%D8%A8%D9%86%D8%A7%D8%A1-97%D9%85/HMM-R-3437,2.0,2.0,97.0,,9000.0,,1,0,طابق أول,Normal,"الدوار الرابع,  عمان,  الأردن",2 غرف نوم - 2 حمامات - غرفة معيشة - مطبخ - غرفة غسيل - كراج,ارضيات بورسلان - تكييف مركزي - تدفئة مركزية - مطبخ راكب - خزائن بالحائط - ديكورات جبصين + خشبية + حجرية - اباجورات كهربائية - شاور بوكس - مصعد - انارة مخفية - زجاج دبل - تشطيبات سوبر ديلوكس,9
rent,https://www.homes-jordan.com/ar/%D9%84%D9%84%D8%A7%D9%8A%D8%AC%D8%A7%D8%B1/%D8%B4%D9%82%D9%82/%D8%B4%D9%82%D8%A9-%D8%A7%D8%AE%D9%8A%D8%B1-%D9%85%D8%B9-%D8%B1%D9%88%D9%81-%D8%AF%D9%88%D8%A8%D9%84%D9%83%D8%B3-%D9%84%D9%84%D8%A7%D9%8A%D8%AC%D8%A7%D8%B1-%D9%81%D9%8A-%D8%AF%D9%8A%D8%B1-%D8%BA%D8%A8%D8%A7%D8%B1-%D8%A8%D9%85%D8%B3%D8%A7%D8%AD%D8%A9-%D8%A7%D8%AC%D9%85%D8%A7%D9%84%D9%8A%D8%A9-300%D9%85/HMM-R-3377,4.0,4.0,250.0,,,,1,0,روف,Duplex,"دير غبار,  عمان,  الأردن",4 غرف نوم (2 ماستر ) - 4 حمامات - غرفة معيشه - 2 صالون - ترس - بلكونة - مخزن - غرفة خادمة وغرفة غسيل - كراج - 2 مدخل,"السعر: 25,000 دينار اردني",10
